word,meaning
recess,n. 1休会期 2课间休息 3休庭 v.休会
diminish,"v. 减少,降低"
trajectory,"n. (具体+抽象)轨迹,弹道"
intern,n. 实习生;实习医师
nutritional,"adj. 营养的,营养学的"
etiquette,"n. 礼仪,礼节"
harmless,adj. 无害的;无恶意的
conceive,"v. 1构想,想象 2怀孕"
incorporate,"v. 使并入,融入"
edit,v. 编辑;剪辑
accusation,"n.控告,起诉;指责"
luxurious,"adj.奢侈的,豪华的,十分舒适的"
hemisphere,n.半球
temper,n.脾气v.使缓和
mild,adj.温和的(天气、人、情感、食物)
contend,v.认为
effectiveness,"n.有效性,效果"
neuroscientist,n.神经系统科学家
workshop,"n.1车间,作坊,工作室2研讨会"
naval,adj. 海军的
oriented,adj.以......为方向的;重视......的
fog,n.雾
tongue,n.舌头;语言
bat,"n.1蝙蝠2球棒,球拍v.用球棒击球"
tape,n.1磁带 2胶带 3终点线v.把......录在磁带上
relive,"v. (尤指在想象中)再次体验,重温"
proneness,n. 倾向
dull,"adj. 枯燥的,无聊的"
concrete,"n. 混凝土adj. 1具体的 2有形的,实在的"
marathon,n. 马拉松赛跑
registration,"n.登记,注册,挂号"
cleaner,"n. 清洁工;吸尘器,清洁剂"
cub,n.(熊、狮、狐狸等的)幼崽
repetitive,adj.重复的;重复乏味的
fulfilment,"n.实现,履行;满足,成就感"
irrigation,n.灌溉
orbit,n. 轨道 v. 沿轨道运行
bake,"v.烘焙,烤制"
doer,"n. 实干的人,实行者,做......的人"
conviction,"n. 定罪,证明有罪;坚定的信念,信仰"
shorthand,n. 速记(法)
outnumber,"v. 数量上超过,比......多"
rail,"n. 轨道,铁轨"
hook,n. 钩子;鱼钩v. 钩住;钓(鱼)
row,"n. 1行,列 2划船v.划船"
fierce,adj. 1(人、动物)凶恶的2(动作、情感)强烈的3(天气、温度)恶劣的
curse,v. 诅咒;咒骂n. 诅咒;祸害
sunburn,n. 晒斑;晒伤(的状态)
reap,v. 1 收割(庄稼) = harvest2取得(成果);收获
clarity,"n. 清晰,清楚,明确"
coin,n. 硬币v. 1造(硬币)2创造(新词语)
sedentary,"adj. 1久坐不动的2(人或动物)定居的,不迁徙的"
comprehensive,adj. 全面的
grasp,"v. 1抓紧,抓住 = grip2理解,掌握 = understandn.紧抓;理解,领会"
plain,"n. 平原adj. 1普通的 = ordinary2清楚的,浅显的"
illegal,adj. 不合法的
GNP,n.国生产总值
squeeze,v. 挤压;捏
mobility,"n. 活动性,流动性"
uniform,n. 制服;校服adj. 一致的
marine,"adj. 海洋的,海产的,海生的n. 海军陆战士兵"
proposition,"n. 1提议,建议2主张,观点3(美国)法律修正议案"
affair,"n.事件,事情,事务"
optimism,"n. 乐观,乐观主义"
cable,"n. 1电缆,缆绳,钢索2有线电视"
horror,n. 恐惧;震惊
caregiver,"n.看护者,护理人员"
resistance,"n.反对,抵制,抵抗"
nonsense,"n.谬论,胡扯,胡言乱语"
extract,v. 提取;提炼 /ɪkˈstrækt/n.提取物;摘录;选录 /ˈekstrækt/
stamp,"n. 1邮票;2 印章;戳 3痕迹;烙印v. 跺脚,重踩;盖(章)"
refrain,"v. 克制,忍住;避免"
attorney,n. 1律师2(业务或法律事务上的)代理人
coastal,"adj.沿海的,靠近海岸的"
